Date,countryCode2,lat,long,Confirmed,Deaths,Recovered,Mortality/100
2020-01-22,AF,33,65,0,0,0,
2020-01-23,AF,33,65,0,0,0,
2020-01-24,AF,33,65,0,0,0,
2020-01-25,AF,33,65,0,0,0,
2020-01-26,AF,33,65,0,0,0,
2020-01-27,AF,33,65,0,0,0,
2020-01-28,AF,33,65,0,0,0,
2020-01-29,AF,33,65,0,0,0,
2020-01-30,AF,33,65,0,0,0,
2020-01-31,AF,33,65,0,0,0,
2020-02-01,AF,33,65,0,0,0,
2020-02-02,AF,33,65,0,0,0,
2020-02-03,AF,33,65,0,0,0,
2020-02-04,AF,33,65,0,0,0,
2020-02-05,AF,33,65,0,0,0,
2020-02-06,AF,33,65,0,0,0,
2020-02-07,AF,33,65,0,0,0,
2020-02-08,AF,33,65,0,0,0,
2020-02-09,AF,33,65,0,0,0,
2020-02-10,AF,33,65,0,0,0,
2020-02-11,AF,33,65,0,0,0,
2020-02-12,AF,33,65,0,0,0,
2020-02-13,AF,33,65,0,0,0,
2020-02-14,AF,33,65,0,0,0,
2020-02-15,AF,33,65,0,0,0,
2020-02-16,AF,33,65,0,0,0,
2020-02-17,AF,33,65,0,0,0,
2020-02-18,AF,33,65,0,0,0,
2020-02-19,AF,33,65,0,0,0,
2020-02-20,AF,33,65,0,0,0,
2020-02-21,AF,33,65,0,0,0,
2020-02-22,AF,33,65,0,0,0,
2020-02-23,AF,33,65,0,0,0,
2020-02-24,AF,33,65,1,0,0,0
2020-02-25,AF,33,65,1,0,0,0
2020-02-26,AF,33,65,1,0,0,0
2020-02-27,AF,33,65,1,0,0,0
2020-02-28,AF,33,65,1,0,0,0
2020-02-29,AF,33,65,1,0,0,0
2020-03-01,AF,33,65,1,0,0,0
2020-03-02,AF,33,65,1,0,0,0
2020-03-03,AF,33,65,1,0,0,0
2020-03-04,AF,33,65,1,0,0,0
2020-03-05,AF,33,65,1,0,0,0
2020-03-06,AF,33,65,1,0,0,0
2020-03-07,AF,33,65,1,0,0,0
2020-03-08,AF,33,65,4,0,0,0
2020-03-09,AF,33,65,4,0,0,0
2020-03-10,AF,33,65,5,0,0,0
2020-03-11,AF,33,65,7,0,0,0
2020-03-12,AF,33,65,7,0,0,0
2020-03-13,AF,33,65,7,0,0,0
2020-03-14,AF,33,65,11,0,0,0
2020-03-15,AF,33,65,16,0,0,0
2020-03-16,AF,33,65,21,0,1,0
2020-03-17,AF,33,65,22,0,1,0
2020-03-18,AF,33,65,22,0,1,0
2020-03-19,AF,33,65,22,0,1,0
2020-03-20,AF,33,65,24,0,1,0
2020-03-21,AF,33,65,24,0,1,0
2020-03-22,AF,33,65,40,1,1,2.5
2020-03-23,AF,33,65,40,1,1,2.5
2020-03-24,AF,33,65,74,1,1,1.351351351
2020-03-25,AF,33,65,84,2,2,2.380952381
2020-03-26,AF,33,65,94,4,2,4.255319149
2020-03-27,AF,33,65,110,4,2,3.636363636
2020-03-28,AF,33,65,110,4,2,3.636363636
2020-03-29,AF,33,65,120,4,2,3.333333333
2020-03-30,AF,33,65,170,4,2,2.352941176
2020-03-31,AF,33,65,174,4,5,2.298850575
2020-04-01,AF,33,65,237,4,5,1.687763713
2020-04-02,AF,33,65,273,6,10,2.197802198
2020-04-03,AF,33,65,281,6,10,2.135231317
2020-04-04,AF,33,65,299,7,10,2.341137124
2020-04-05,AF,33,65,349,7,15,2.005730659
2020-04-06,AF,33,65,367,11,18,2.997275204
2020-04-07,AF,33,65,423,14,18,3.309692671
2020-04-08,AF,33,65,444,14,29,3.153153153
2020-04-09,AF,33,65,484,15,32,3.099173554
2020-04-10,AF,33,65,521,15,32,2.879078695
2020-04-11,AF,33,65,555,18,32,3.243243243
2020-04-12,AF,33,65,607,18,32,2.965403624
2020-04-13,AF,33,65,665,21,32,3.157894737
2020-04-14,AF,33,65,714,23,40,3.221288515
2020-04-15,AF,33,65,784,25,43,3.18877551
2020-04-16,AF,33,65,840,30,54,3.571428571
2020-04-17,AF,33,65,906,30,99,3.311258278
2020-04-18,AF,33,65,933,30,112,3.215434084
2020-04-19,AF,33,65,996,33,131,3.313253012
2020-04-20,AF,33,65,1026,36,135,3.50877193
2020-04-21,AF,33,65,1092,36,150,3.296703297
2020-04-22,AF,33,65,1176,40,166,3.401360544
2020-04-23,AF,33,65,1279,42,179,3.283815481
2020-04-24,AF,33,65,1351,43,188,3.182827535
2020-04-25,AF,33,65,1463,47,188,3.212576897
