x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,y
0.01,7.36,117.75,114.62,1,0,0,75,316.46,2.169,3.965912937
0.01,6.19,17.9,17.64,0,0,0,90,408.93,2.417221,4.096610727
0.01,6.19,10.04,9.58,0,0,0,90,289.56,2.417221,5.925501916
0.01,6.19,13.24,12.9,0,0,0,90,256.82,2.417221,5.582138636
0.01,6.19,16.24,15.96,0,0,0,90,527.92,2.417221,5.674700823
0.01,6.61,58.24,55.2,1,0,0,50,280.56,2.417221,3.45867031
0.01,6.61,173.88,173.16,1,0,0,50,338.539,2.417221,3.450750201
0.01,6.61,112.52,111.37,1,0,0,50,438.339,2.417221,2.436207477
0.01,6.61,63.33,61.79,1,0,0,50,235,3.220357143,4.19953163
0.01,6.61,22.63,19.33,1,0,0,50,450.28,1.52,5.698614323
0.01,6.61,92.59,92.25,1,0,0,50,477.22,2.417221,3.28318968
0.01,6.61,89.72,89.37,1,0,0,50,813.48,2.417221,2.875508485
0.01,6.61,96.93,96.81,1,0,0,50,301.95,1.04,3.612316432
0.01,6.61,30.19,25.58,1,0,0,50,684.935,2.417221,4.463452207
0.01,6.61,61.64,59.52,1,0,0,50,394.18,2.417221,3.162231193
0.01,6.61,46.78,43.95,1,0,0,50,308.35,2.417221,4.454256637
0.01,6.61,139.8,139.14,1,0,0,50,338.539,2.417221,3.596864349
0.01,6.61,130.98,130,1,0,0,50,684.935,2.417221,2.064001459
0.01,6.61,25.89,22.77,1,0,0,50,316.46,2.169,5.348917107
0.01,6.61,27.4,22.22,1,0,0,50,425.34,2.417221,4.825846432
0.01,6.61,19.3,13.99,1,0,0,50,602.1,2.417221,5.803120197
0.01,6.61,25.07,19.45,1,0,0,50,821.6894831,2.417221,5.09162958
0.01,6.61,22.57,17.22,1,0,0,50,670.84,0.32,4.9491989
0.01,6.61,193.91,193.25,1,0,0,50,271.441,2.417221,2.179606644
0.01,6.61,109.74,108.56,1,0,0,50,438.339,2.417221,2.213195237
0.01,6.61,110.18,109.01,1,0,0,50,438.339,2.417221,2.142834066
0.01,6.61,28.99,24.16,1,0,0,50,452.86,2.417221,4.865957277
0.01,6.61,38.97,35.54,1,0,0,50,529.09,2.417221,4.926181241
0.01,6.61,70.55,68.84,1,0,0,50,297.917,2.40625,3.316694936
0.01,6.61,53.34,52.64,1,0,0,50,597.12,2.417221,4.1734345
0.01,6.61,110.03,108.01,1,0,0,50,338.539,2.417221,3.649608462
0.01,6.61,126.78,124.79,1,0,0,50,442.88,2.417221,2.666145177
0.01,6.61,31.41,30.7,1,0,0,50,684.935,2.417221,5.134114555
0.01,6.61,63.79,61.75,1,0,0,50,669.48,2.417221,3.668337712
0.01,6.61,61.84,61.72,1,0,0,50,445.983055,2.417221,4.220619318
0.01,6.61,70.23,68.38,1,0,0,50,347.67,2.417221,3.340436032
0.01,6.61,41.38,39.45,1,0,0,50,298.68,2.966,4.732854442
0.01,6.61,62.23,61.64,1,0,0,50,486,2.417221,3.933318762
0.01,6.24,4.74,3.51,0,0,2,80,288.77,2.417221,5.975062857
0.01,6.5,49.38,49.13,1,0,2.3,12,424.8,2.417221,3.36353452
0.01,6.5,35.67,33.32,1,0,2.3,12,274.5,2.417221,4.302590499
0.01,6.5,81,80.37,1,0,2.3,12,274.5,2.417221,4.052133278
0.01,6.5,102.16,102.05,1,0,2.3,12,659.6,2.417221,3.535961793
0.01,6.5,15.82,14.97,1,0,2.3,12,424.8,2.417221,5.829548124
0.01,6.8,5.46,3.92,1,0,3.8,58,659.6,2.417221,6.457347908
0.01,7.35,120.81,119.77,1,0,1,25,338.6,2.417221,4.312117597
0.01,7.35,28.79,24.07,1,0,1,25,338.6,2.417221,4.678502735
0.01,7.35,13.94,0,1,0,1,25,659.6,2.417221,5.85761695
0.01,7.35,91.14,89.76,1,0,1,25,274.5,2.417221,4.683014254
0.01,7.35,194.55,193.91,1,0,1,25,274.5,2.417221,3.568645708
0.01,7.35,151.16,150.33,1,0,1,25,424.8,2.417221,3.288417547
0.01,7.35,6.78,1.79,1,0,1,25,766.77,2.417221,6.692063536
0.01,5.74,6.13,5.3,0,0,3.1,80,597.12,1.68,5.365752513
0.01,5.74,10.67,10.21,0,0,3.1,80,1428,1.62,4.773271589
0.01,5.74,9.02,8.47,0,0,3.1,80,270.84,1.62,5.665308097
0.01,5.74,7.42,6.75,0,0,3.1,80,349.85,1.62,5.555318266
0.01,5.74,5.7,4.79,0,0,3.1,80,221.78,1.88,5.579279879
0.01,5.74,3.11,0.42,0,0,3.1,80,663.31,1.63,5.983963232
0.01,5.74,33.83,33.69,0,0,3.1,80,281.61,1.68,3.709545035
0.01,5.74,20.67,20.44,0,0,3.1,80,370.789,1.11,4.626101911
0.01,5.74,20.67,20.44,0,0,3.1,80,370.789,1.11,4.589929586
0.01,5.74,19.7,19.46,0,0,3.1,80,370.789,1.96,4.597461289
0.01,6.53,3.41,0,0,0,0,80,274.5,3.92,5.833174821
0.01,6.53,3.4,0,0,0,0,80,274.5,3.92,5.666608786
0.01,6.53,4.01,0.47,0,0,0,80,223.03,3.92,6.516116505
0.01,6.53,10.57,8.54,0,0,0,80,208.71,3.56,5.245588105
0.01,6.53,11.56,10.45,0,0,0,80,231.23,3.92,5.433039482
0.01,6.53,24.6,23.17,0,0,0,80,205.78,3.4,4.621991373
0.01,6.53,16.06,15.19,0,0,0,80,659.6,3.92,5.161813905
0.01,6.53,8.35,7.29,0,0,0,80,274.5,3.92,5.590691825
0.01,6.53,50.1,49.1,0,0,0,80,345.419,2.417221,4.785247977
0.01,6.53,15.34,13.52,0,0,0,80,274.5,3.92,5.079860099
0.01,6.53,22.54,22.03,0,0,0,80,274.5,3.92,5.649124452
0.01,6.53,8.61,7.31,0,0,0,80,192.05,3.2,5.359737098
0.01,6.53,3.47,0.07,0,0,0,80,186.21,2.417221,5.715154725
0.01,6.53,21.68,19.76,0,0,0,80,237.33,3.04,4.93871252
0.01,6.53,7.58,6.17,0,0,0,80,202.85,3.2,5.313603604
0.01,6.53,13.48,12.45,0,0,0,80,196.25,3.16,5.907343127
0.01,6.53,18.85,17.94,0,0,0,80,196.88,3.16,4.912524701
0.01,6.53,22.83,21.98,0,0,0,80,249.92,3.16,4.779273591
0.01,6.53,12.9,10.79,0,0,0,80,162.94,3.28,5.523671616
0.01,6.53,7.38,4.9,0,0,0,80,208.91,3.48,5.906587873
0.01,6.53,4.82,1.76,0,0,0,80,205.63,3.48,6.088002639
0.01,6.53,3.49,0,0,0,0,80,203.22,3.44,6.052621314
0.01,6.53,3.59,0.56,0,0,0,80,210.51,3.36,6.021476572
0.01,6.53,5.61,3.86,0,0,0,80,206.08,3.24,6.272675167
0.01,6.53,6.63,5.09,0,0,0,80,202.26,3.24,6.049539021
0.01,6.53,7.94,5.51,0,0,0,80,202.89,3.52,5.492954771
0.01,6.53,36.92,35.64,0,0,0,80,207.469,3.92,4.429718629
0.01,6.53,13.53,12.69,0,0,0,80,348.69,3.08,5.094911183
0.01,6.53,31.1,30.33,0,0,0,80,345.419,2.417221,3.899269275
0.01,6.53,10.79,9.64,0,0,0,80,338.6,3.92,5.875608369
